Age,Length,Sex,Source
9,886,U,Sulak
1,901,U,Sulak
5,897,U,Sulak
5,900,U,Sulak
5,939,U,Sulak
5,952,U,Sulak
7,975,U,Sulak
9,967,U,Sulak
5,975,U,Sulak
6,1006,U,Sulak
5,1012,U,Sulak
6,988,U,Sulak
10,1022,U,Sulak
7,1008,U,Sulak
6,981,U,Sulak
9,1050,U,Sulak
5,1034,U,Sulak
6,1041,U,Sulak
6,1038,U,Sulak
8,1070,U,Sulak
7,1058,U,Sulak
6,1070,U,Sulak
7,1076,U,Sulak
7,1088,U,Sulak
4,1092,U,Sulak
7,1100,U,Sulak
7,1086,U,Sulak
7,1124,U,Sulak
6,1130,U,Sulak
6,1149,U,Sulak
7,1132,U,Sulak
5,1130,U,Sulak
6,1159,U,Sulak
10,1155,U,Sulak
6,1181,U,Sulak
8,1219,U,Sulak
7,1178,U,Sulak
9,1190,U,Sulak
7,1257,U,Sulak
9,1241,U,Sulak
10,1241,U,Sulak
9,1308,U,Sulak
9,1270,U,Sulak
9,1250,U,Sulak
9,1266,U,Sulak
10,1282,U,Sulak
8,1284,U,Sulak
10,1320,U,Sulak
11,1282,U,Sulak
9,1293,U,Sulak
8,1308,U,Sulak
8,1289,U,Sulak
9,1320,U,Sulak
8,1296,U,Sulak
8,1372,U,Sulak
9,1314,U,Sulak
9,1371,U,Sulak
8,1352,U,Sulak
7,1338,U,Sulak
11,1371,U,Sulak
8,1311,U,Sulak
9,1368,U,Sulak
10,1346,U,Sulak
7,1358,U,Sulak
9,1348,U,Sulak
11,1384,U,Sulak
12,1368,U,Sulak
8,1346,U,Sulak
9,1333,U,Sulak
7,1346,U,Sulak
8,1346,U,Sulak
8,1346,U,Sulak
8,1372,U,Sulak
9,1371,U,Sulak
9,1397,U,Sulak
10,1359,U,Sulak
9,1346,U,Sulak
10,1378,U,Sulak
9,1409,U,Sulak
9,1397,U,Sulak
9,1422,U,Sulak
8,1398,U,Sulak
10,1409,U,Sulak
14,1492,U,Sulak
8,1384,U,Sulak
9,1409,U,Sulak
9,1397,U,Sulak
7,1372,U,Sulak
9,1370,U,Sulak
9,1390,U,Sulak
8,1454,U,Sulak
15,1479,U,Sulak
10,1447,U,Sulak
9,1473,U,Sulak
9,1473,U,Sulak
11,1479,U,Sulak
14,1473,U,Sulak
9,1473,U,Sulak
9,1454,U,Sulak
10,1492,U,Sulak
8,1473,U,Sulak
8,1473,U,Sulak
9,1498,U,Sulak
12,1524,U,Sulak
15,1498,U,Sulak
9,1524,U,Sulak
9,1480,U,Sulak
11,1536,U,Sulak
11,1511,U,Sulak
11,1473,U,Sulak
13,1524,U,Sulak
11,1485,U,Sulak
8,1584,U,Sulak
10,1500,U,Sulak
9,1499,U,Sulak
9,1517,U,Sulak
9,1530,U,Sulak
10,1537,U,Sulak
9,1562,U,Sulak
11,1536,U,Sulak
12,1558,U,Sulak
12,1575,U,Sulak
8,1524,U,Sulak
10,1574,U,Sulak
12,1630,U,Sulak
13,1625,U,Sulak
11,1701,U,Sulak
24,1879,U,Sulak
4,1155,U,Berg
4,1010,U,Berg
4,1150,U,Berg
4,950,U,Berg
4,1200,U,Berg
5,1181,U,Berg
5,1064,U,Berg
5,1296,U,Berg
5,1110,U,Berg
6,1240,U,Berg
6,1308,U,Berg
6,1257,U,Berg
6,1330,U,Berg
6,1342,U,Berg
6,1316,U,Berg
6,1220,U,Berg
6,1420,U,Berg
6,1198,U,Berg
7,1266,U,Berg
7,1362,U,Berg
7,1200,U,Berg
7,1568,U,Berg
7,1352,U,Berg
7,1218,U,Berg
7,1464,U,Berg
7,1310,U,Berg
7,1300,U,Berg
7,1500,U,Berg
7,1286,U,Berg
7,1362,U,Berg
7,1003,U,Berg
8,1374,U,Berg
8,1490,U,Berg
8,1590,U,Berg
8,1450,U,Berg
8,1290,U,Berg
8,1358,U,Berg
8,1317,U,Berg
9,1614,U,Berg
9,1412,U,Berg
9,1580,U,Berg
9,1644,U,Berg
9,1596,U,Berg
9,1648,U,Berg
9,1405,U,Berg
9,1680,U,Berg
9,1704,U,Berg
9,1362,U,Berg
9,1636,U,Berg
10,1570,U,Berg
10,1736,U,Berg
10,1622,U,Berg
10,1650,U,Berg
10,1636,U,Berg
10,1680,U,Berg
10,1680,U,Berg
11,1778,U,Berg
11,1346,U,Berg
11,1308,U,Berg
11,1710,U,Berg
11,1605,U,Berg
11,1404,U,Berg
11,1722,U,Berg
11,1494,U,Berg
12,1480,U,Berg
12,1714,U,Berg
12,1828,U,Berg
12,1490,U,Berg
14,1690,U,Berg
14,1844,U,Berg
14,1414,U,Berg
16,1482,U,Berg
17,1648,U,Berg
18,1840,U,Berg
20,1722,U,Berg
