genus,species,name_combined,feet,meters,,
Chromis,insolata,Chromis insolata,248,76,,Arbitrary comment on the right that will mess up data reading
Chromis,insolata,Chromis insolata,210,64,,
Chromis,scotti,Chromis scotti,275,84,,
Chromis,insolata,Chromis insolata,262,80,,
Chromis,insolata,Chromis insolata,250,76,,
Chromis,insolata,Chromis insolata,293,89,,
Chromis,insolata,Chromis insolata,293,89,,
Chromis,insolata,Chromis insolata,262,80,,
Chromis,scotti,Chromis scotti,230,70,,
Chromis,insolata,Chromis insolata,190,58,,
Chromis,insolata,Chromis insolata,195,59,,
Chromis,insolata,Chromis insolata,200,61,,
Chromis,insolata,Chromis insolata,220,67,,
Chromis,insolata,Chromis insolata,195,59,,
Chromis,scotti,Chromis scotti,298,91,,
Chromis,scotti,Chromis scotti,262,80,,
Chromis,insolata,Chromis insolata,195,59,,
Chromis,insolata,Chromis insolata,220,67,,
Chromis,insolata,Chromis insolata,220,67,,
Chromis,insolata,Chromis insolata,162,49,,
Chromis,scotti,Chromis scotti,259,79,,
Chromis,insolata,Chromis insolata,215,66,,
Chromis,insolata,Chromis insolata,295,90,,
Chromis,insolata,Chromis insolata,262,80,,
Chromis,scotti,Chromis scotti,272,83,,
Chromis,insolata,Chromis insolata,300,91,,
Chromis,scotti,Chromis scotti,330,101,,
Chromis,scotti,Chromis scotti,232,71,,
Chromis,scotti,Chromis scotti,260,79,,
Chromis,insolata,Chromis insolata,180,55,,
Chromis,insolata,Chromis insolata,209,64,,
Chromis,insolata,Chromis insolata,295,90,,
Chromis,insolata,Chromis insolata,166,51,,
Chromis,insolata,Chromis insolata,217,66,,
Chromis,scotti,Chromis scotti,320,98,,
Chromis,insolata,Chromis insolata,209,64,,
Chromis,scotti,Chromis scotti,240,73,,
Chromis,insolata,Chromis insolata,255,78,,
Chromis,insolata,Chromis insolata,263,80,,
Chromis,insolata,Chromis insolata,277,84,,
Chromis,insolata,Chromis insolata,217,66,,
Chromis,scotti,Chromis scotti,293,89,,
Chromis,insolata,Chromis insolata,220,67,,
Chromis,insolata,Chromis insolata,230,70,,
Chromis,scotti,Chromis scotti,240,73,,
Chromis,insolata,Chromis insolata,230,70,,
Chromis,scotti,Chromis scotti,277,84,,
Chromis,insolata,Chromis insolata,295,90,,
Chromis,insolata,Chromis insolata,266,81,,
Chromis,insolata,Chromis insolata,255,78,,
Chromis,insolata,Chromis insolata,200,61,,
Chromis,scotti,Chromis scotti,240,73,,
Chromis,insolata,Chromis insolata,262,80,,
Chromis,insolata,Chromis insolata,195,59,,
Chromis,insolata,Chromis insolata,232,71,,
Chromis,insolata,Chromis insolata,240,73,,
Chromis,scotti,Chromis scotti,260,79,,
Chromis,insolata,Chromis insolata,248,76,,
Chromis,insolata,Chromis insolata,250,76,,
Chromis,insolata,Chromis insolata,158,48,,
Chromis,insolata,Chromis insolata,330,101,,
Chromis,scotti,Chromis scotti,232,71,,
Chromis,insolata,Chromis insolata,195,59,,
Chromis,scotti,Chromis scotti,334,102,,
Chromis,scotti,Chromis scotti,232,71,,
Chromis,insolata,Chromis insolata,213,65,,
Chromis,insolata,Chromis insolata,250,76,,
Chromis,scotti,Chromis scotti,230,70,,
Chromis,insolata,Chromis insolata,248,76,,
Chromis,insolata,Chromis insolata,266,81,,
Chromis,insolata,Chromis insolata,220,67,,
Chromis,scotti,Chromis scotti,230,70,,
Chromis,insolata,Chromis insolata,184,56,,
Chromis,scotti,Chromis scotti,277,84,,
Chromis,insolata,Chromis insolata,277,84,,
Chromis,insolata,Chromis insolata,184,56,,
Chromis,insolata,Chromis insolata,209,64,,
Chromis,scotti,Chromis scotti,262,80,,
Chromis,scotti,Chromis scotti,312,95,,
Chromis,insolata,Chromis insolata,162,49,,
Chromis,insolata,Chromis insolata,230,70,,
Chromis,insolata,Chromis insolata,195,59,,
Chromis,insolata,Chromis insolata,238,73,,
Chromis,insolata,Chromis insolata,348,106,,
Chromis,scotti,Chromis scotti,277,84,,
Chromis,insolata,Chromis insolata,217,66,,
Chromis,scotti,Chromis scotti,289,88,,
Chromis,insolata,Chromis insolata,190,58,,
Chromis,insolata,Chromis insolata,220,67,,
Chromis,scotti,Chromis scotti,199,61,,
,,,,,,
,,,,,,
Arbitrary comment below that will mess up your data,,,,,,
